Ticket_ID,Date,Machine,Description
64,2023-01-22,Hidraulikus prés-4,Beragadt működtető a lift mechanizmusban.
65,2023-01-22,Szenzorvezérlő-3,Túláramvédelem ismételten aktiválódik.
66,2023-01-22,Robot Delta,Igazítási probléma a robotkarban.
67,2023-01-23,Hidraulikus prés-10,Az elektromos motor szénkeféi elhasználódtak.
68,2023-01-23,Optikai Mérő-Delta,A motor túlmelegedett és leállt.
69,2023-01-23,Lézeres Vágó-B,Az adagoló rendszerben eltömődés történt.
70,2023-01-24,Emelőkar-3,Beragadt működtető a lift mechanizmusban.
71,2023-01-24,Maró-2,A pneumatikus rendszer tömítetlenséget mutat.
72,2023-01-24,Hegesztő-MAX,Törött tömítés az olajtartályon.
73,2023-01-25,Emelőkar-X,Gyakori olajszivárgás a hajtótengely közelében.
74,2023-01-25,Présgép-1,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
75,2023-01-25,CNC-Pro,Porfelhalmozódás az optikai szenzoron.
76,2023-01-26,Optikai Mérő-X,A kenőrendszer olajszintje az alsó határérték alá csökkent.
77,2023-01-26,Lézeres Vágó-A,A szinkronizáció megszakadt a vezérlőegységek között.
78,2023-01-26,Hidraulikus prés-4,A vészjelző rendszer váratlan hibát jelzett.
79,2023-01-27,Robot Delta,Az automatizált szoftverfrissítés során hibakódot jelezett.
80,2023-01-27,Présgép-9,A kenőrendszer olajszintje az alsó határérték alá csökkent.
81,2023-01-27,Maró-2,A szivattyú működése közben szokatlan zaj hallható.
82,2023-01-28,Optikai Mérő-2,A vészjelző rendszer váratlan hibát jelzett.
83,2023-01-28,Szállítószalag-Z,Az elektrohidraulikus szelep elakadt működés közben.
84,2023-01-28,Szenzorvezérlő-3,A motor túlmelegedett és leállt.
85,2023-01-29,CNC-7,Túlmelegedett a hajtómotor működés közben.
86,2023-01-29,Lézeres Vágó-Pro,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
87,2023-01-29,Présgép-Plus,A PLC vezérlőegység áramszünet miatt újraindult.
88,2023-01-30,Robot 2,A csapágyak extrém kopást mutatnak.
89,2023-01-30,Hegesztő-XL,A lánchajtás mechanikai deformációt szenvedett.
90,2023-01-30,Fúró-12,Kopott fogaskerék cseréje szükséges.
91,2023-01-31,Emelőkar-3,Hirtelen áramfelvétel-növekedés figyelhető meg.
92,2023-01-31,Optikai Mérő-Delta,A berendezés érzékelője hamis riasztásokat generál.
93,2023-01-31,Optikai Mérő-2,A szállítószalag lánca megszakadt.
94,2023-02-01,Présgép-9,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
95,2023-02-01,Szállítószalag-C,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
96,2023-02-01,Robot 2,Kopott fogaskerék cseréje szükséges.
97,2023-02-02,Maró-8,A vészleállító gomb nem működött megfelelően.
98,2023-02-02,Fúró-MAX,Az elektromos motor szénkeféi elhasználódtak.
99,2023-02-02,Lézeres Vágó-A,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
100,2023-02-03,Lézeres Vágó-A,A vezérlőpanel időnként nem reagál.
101,2023-02-03,Hidraulikus prés-10,Az integrált áramkör hőtúlterhelést kapott.
102,2023-02-03,Szenzorvezérlő-3,A hőmérséklet-szabályozó egység hibás jeleket küld.
103,2023-02-04,Lézeres Vágó-Pro,Az optikai érzékelőt zsírréteg borítja.
104,2023-02-04,CNC-Pro,A láncmechanizmus meghibásodott.
105,2023-02-04,Robot 2,A kenőrendszer olajszintje az alsó határérték alá csökkent.
106,2023-02-05,Szenzorvezérlő-1,Az elektrohidraulikus szelep elakadt működés közben.
107,2023-02-05,Hidraulikus prés-4,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
108,2023-02-05,Optikai Mérő-Delta,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
109,2023-02-06,Emelőkar-X,A robotvezérlő és a mechanika szinkronizációja megszakadt.
110,2023-02-06,Présgép-9,Az integrált áramkör hőtúlterhelést kapott.
111,2023-02-06,Robot Delta,Kopott fogaskerék cseréje szükséges.
112,2023-02-07,Emelőkar-X,A robotkar mozgása akadozik.
113,2023-02-07,CNC-7,Hűtőrendszer meghibásodás jelentve.
114,2023-02-07,Szállítószalag-C,Túlmelegedett a hajtómotor működés közben.
115,2023-02-08,Présgép-9,Túlmelegedett a hajtómotor működés közben.
116,2023-02-08,Lézeres Vágó-B,Szenzorhiba hibás vezetékezés miatt.
117,2023-02-08,Robot 2,Laza csatlakozás a fő tápbemeneten.
118,2023-02-09,Fúró-5,Az alkatrész érzékelő hibás adatokat továbbít.
119,2023-02-09,Lézeres Vágó-Pro,Igazítási probléma a robotkarban.
120,2023-02-09,Présgép-Plus,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
121,2023-02-10,Szenzorvezérlő-Beta,A hűtőventilátor fordulatszáma csökkent.
122,2023-02-10,Szenzorvezérlő-3,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
123,2023-02-10,Lézeres Vágó-Pro,A hűtőventilátor fordulatszáma csökkent.
124,2023-02-11,Maró-8,Szenzorhiba hibás vezetékezés miatt.
125,2023-02-11,CNC-3,A szinkronizáció megszakadt a vezérlőegységek között.
126,2023-02-11,Présgép-9,A PLC vezérlőegység áramszünet miatt újraindult.
127,2023-02-12,Szenzorvezérlő-3,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
128,2023-02-12,Maró-Z,A gépindítás közben váratlan rendszerindítás történt.
129,2023-02-12,Maró-2,Rendellenes rezgés működés közben.
130,2023-02-13,Maró-Z,Firmware inkompatibilitás frissítés után.
131,2023-02-13,Maró-2,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
132,2023-02-13,Hegesztő-XL,A feszültségszabályozó hibásan működik.
133,2023-02-14,Hidraulikus prés-4,A vákuumrendszer szivárgást jelez.
134,2023-02-14,Emelőkar-X,Váratlan leállás szoftverhiba miatt.
135,2023-02-14,Hidraulikus prés-4,A szinkronizáció megszakadt a vezérlőegységek között.
136,2023-02-15,CNC-7,A vészjelző rendszer váratlan hibát jelzett.
137,2023-02-15,Hegesztő-MAX,Rendellenes rezgés működés közben.
138,2023-02-15,Szállítószalag-B,A lánchajtás mechanikai deformációt szenvedett.
139,2023-02-16,Szállítószalag-B,A hőmérséklet meghaladja a biztonságos határt.
140,2023-02-16,Hegesztő-XL,Áramkimaradás történt a vezérlőegységnél.
141,2023-02-16,Robot 2,Rendellenes rezgés működés közben.
142,2023-02-17,Hegesztő-MAX,Az érzékelők jelzése nem egyezik a valós pozícióval.
143,2023-02-17,Maró-8,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
144,2023-02-17,Szállítószalag-7,A szivattyú működése közben szokatlan zaj hallható.
145,2023-02-18,Robot X,A hőcserélő szivárog a csatlakozási pontnál.
146,2023-02-18,Szenzorvezérlő-1,A feszültségszabályozó hibásan működik.
147,2023-02-18,Hidraulikus prés-Y,A süllyesztő mechanizmus belső csapágyai sérültek.
148,2023-02-19,Fúró-12,Túláramvédelem ismételten aktiválódik.
149,2023-02-19,CNC-3,Az optikai érzékelőt zsírréteg borítja.
150,2023-02-19,CNC-Micro,A lánchajtás mechanikai deformációt szenvedett.
151,2023-02-20,CNC-3,Gyakori olajszivárgás a hajtótengely közelében.
152,2023-02-20,Hegesztő-1,A hálózati csatlakozónál magas hőmérsékletet észleltek.
153,2023-02-20,Szállítószalag-Z,A vákuumrendszer szivárgást jelez.
154,2023-02-21,CNC-Micro,A hálózati csatlakozónál magas hőmérsékletet észleltek.
155,2023-02-21,Hegesztő-1,Az érzékelők jelzése nem egyezik a valós pozícióval.
156,2023-02-21,Robot X,A csapágyak extrém kopást mutatnak.
157,2023-02-22,Robot Delta,A PLC vezérlőegység áramszünet miatt újraindult.
158,2023-02-22,Szenzorvezérlő-1,A szervomotor nem tartja a beállított pozíciót.
159,2023-02-22,Présgép-9,Alacsony hidraulikus nyomás észlelve.
160,2023-02-23,Hegesztő-1,Szenzorhiba hibás vezetékezés miatt.
161,2023-02-23,Fúró-5,A csapágyak extrém kopást mutatnak.
162,2023-02-23,Optikai Mérő-X,A PLC vezérlőegység áramszünet miatt újraindult.
163,2023-02-24,Szenzorvezérlő-3,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
164,2023-02-24,Lézeres Vágó-B,Az eszköz firmware-jének újraindítása sikertelen volt.
165,2023-02-24,Hidraulikus prés-Y,Az érzékelők jelzése nem egyezik a valós pozícióval.
166,2023-02-25,Robot Delta,Az adagoló rendszerben eltömődés történt.
167,2023-02-25,CNC-Pro,A szivattyú működése közben szokatlan zaj hallható.
168,2023-02-25,CNC-Micro,A vészjelző rendszer váratlan hibát jelzett.
169,2023-02-26,Fúró-MAX,A robotkar mozgása akadozik.
170,2023-02-26,Hidraulikus prés-10,Igazítási probléma a robotkarban.
171,2023-02-26,Szállítószalag-Z,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
172,2023-02-27,CNC-3,Áramkimaradás történt a vezérlőegységnél.
173,2023-02-27,Fúró-MAX,Az érzékelők jelzése nem egyezik a valós pozícióval.
174,2023-02-27,Maró-2,A hálózati csatlakozónál magas hőmérsékletet észleltek.
175,2023-02-28,CNC-Micro,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
176,2023-02-28,Lézeres Vágó-Pro,Túlmelegedett a hajtómotor működés közben.
177,2023-02-28,Szállítószalag-7,Az optikai érzékelőt zsírréteg borítja.
178,2023-03-01,Fúró-X,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
179,2023-03-01,CNC-7,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
180,2023-03-01,Fúró-12,Igazítási probléma a robotkarban.
181,2023-03-02,Emelőkar-Pro,A csapágyak extrém kopást mutatnak.
182,2023-03-02,Hegesztő-1,Beragadt működtető a lift mechanizmusban.
183,2023-03-02,Szenzorvezérlő-Beta,Az eszköz firmware-jének újraindítása sikertelen volt.
184,2023-03-03,CNC-Pro,Laza csatlakozás a fő tápbemeneten.
185,2023-03-03,Szállítószalag-7,Laza csatlakozás a fő tápbemeneten.
186,2023-03-03,Présgép-Plus,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
187,2023-03-04,Fúró-MAX,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
188,2023-03-04,CNC-Pro,Nem reagál az érintőképernyő a vezérlőpanelen.
189,2023-03-04,Szállítószalag-B,A vezérlőpanel időnként nem reagál.
190,2023-03-05,Hidraulikus prés-4,Szenzorhiba hibás vezetékezés miatt.
191,2023-03-05,Fúró-5,Igazítási probléma a robotkarban.
192,2023-03-05,Présgép-9,Az adagoló rendszerben eltömődés történt.
193,2023-03-06,Emelőkar-3,A lánchajtás mechanikai deformációt szenvedett.
194,2023-03-06,Présgép-Plus,A berendezés érzékelője hamis riasztásokat generál.
195,2023-03-06,Hegesztő-XL,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
196,2023-03-07,Szenzorvezérlő-1,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
197,2023-03-07,Robot Alpha,A hálózati csatlakozónál magas hőmérsékletet észleltek.
198,2023-03-07,Hegesztő-XL,Túláramvédelem ismételten aktiválódik.
199,2023-03-08,Szállítószalag-Z,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
200,2023-03-08,Fúró-MAX,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
201,2023-03-08,Szállítószalag-7,A gépindítás közben váratlan rendszerindítás történt.
202,2023-03-09,Maró-2,A robotvezérlő és a mechanika szinkronizációja megszakadt.
203,2023-03-09,Hidraulikus prés-10,A robotkar mozgása akadozik.
204,2023-03-09,Szállítószalag-Z,Váratlan leállás szoftverhiba miatt.
205,2023-03-10,Lézeres Vágó-B,Az érzékelők jelzése nem egyezik a valós pozícióval.
206,2023-03-10,Hidraulikus prés-10,Kopott fogaskerék cseréje szükséges.
207,2023-03-10,Emelőkar-3,Túlmelegedett a hajtómotor működés közben.
208,2023-03-11,Optikai Mérő-2,A hűtőventilátor fordulatszáma csökkent.
209,2023-03-11,Robot X,A láncmechanizmus meghibásodott.
210,2023-03-11,Szenzorvezérlő-Beta,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
211,2023-03-12,Fúró-X,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
212,2023-03-12,Emelőkar-X,A szinkronizáció megszakadt a vezérlőegységek között.
213,2023-03-12,Fúró-5,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
214,2023-03-13,Maró-8,Törött tömítés az olajtartályon.
215,2023-03-13,Szenzorvezérlő-3,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
216,2023-03-13,Szenzorvezérlő-Beta,Hűtőrendszer meghibásodás jelentve.
217,2023-03-14,Hegesztő-XL,Túlmelegedett a hajtómotor működés közben.
218,2023-03-14,Emelőkar-X,Az elektrohidraulikus szelep elakadt működés közben.
219,2023-03-14,Emelőkar-3,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
220,2023-03-15,Hidraulikus prés-Y,Nem reagál az érintőképernyő a vezérlőpanelen.
221,2023-03-15,Szállítószalag-7,A szenzor kalibrálása sikertelen volt.
222,2023-03-15,Lézeres Vágó-Pro,Hűtőrendszer meghibásodás jelentve.
223,2023-03-16,Lézeres Vágó-Pro,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
224,2023-03-16,Présgép-9,Az automatizált szoftverfrissítés során hibakódot jelezett.
225,2023-03-16,Hidraulikus prés-Y,A szoftver modul inkompatibilitása miatt a rendszer nem indítható.
226,2023-03-17,Lézeres Vágó-A,A berendezés érzékelője hamis riasztásokat generál.
227,2023-03-17,Robot X,Túlmelegedett a hajtómotor működés közben.
228,2023-03-17,Szenzorvezérlő-3,A szinkronizáció megszakadt a vezérlőegységek között.
229,2023-03-18,Robot X,A vészjelző rendszer váratlan hibát jelzett.
230,2023-03-18,Szenzorvezérlő-Beta,A szervomotor nem tartja a beállított pozíciót.
231,2023-03-18,Lézeres Vágó-B,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
232,2023-03-19,Présgép-Plus,Az elektrohidraulikus szelep elakadt működés közben.
233,2023-03-19,Szállítószalag-B,Törött tömítés az olajtartályon.
234,2023-03-19,Hegesztő-XL,A vibrációérzékelő határérték feletti értéket mutatott.
235,2023-03-20,Lézeres Vágó-Pro,A rendszer kritikus memóriahibát észlelt.
236,2023-03-20,Fúró-MAX,A rendszer kritikus memóriahibát észlelt.
237,2023-03-20,Szállítószalag-7,A vészjelző rendszer váratlan hibát jelzett.
238,2023-03-21,Robot Delta,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
239,2023-03-21,Emelőkar-Pro,A PLC vezérlőegység áramszünet miatt újraindult.
240,2023-03-21,Hegesztő-MAX,Gyakori olajszivárgás a hajtótengely közelében.
241,2023-03-22,Hegesztő-MAX,A robotvezérlő és a mechanika szinkronizációja megszakadt.
242,2023-03-22,Fúró-12,A szállítószalag lánca megszakadt.
243,2023-03-22,CNC-Pro,Hirtelen áramfelvétel-növekedés figyelhető meg.
244,2023-03-23,CNC-3,A csatlakozók oxidációs nyomokat mutatnak.
245,2023-03-23,Maró-8,Törött tömítés az olajtartályon.
246,2023-03-23,CNC-7,Az elektrohidraulikus szelep elakadt működés közben.
247,2023-03-24,Présgép-1,Hűtőrendszer meghibásodás jelentve.
248,2023-03-24,Lézeres Vágó-B,A láncvezető kopás miatt nem működik megfelelően.
249,2023-03-24,Szállítószalag-C,A kenőrendszer olajszintje az alsó határérték alá csökkent.
250,2023-03-25,Robot X,A vészleállító ok nélkül aktiválódott.
251,2023-03-25,Lézeres Vágó-Pro,Az érzékelők jelzése nem egyezik a valós pozícióval.
252,2023-03-25,Présgép-Plus,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
253,2023-03-26,CNC-3,A láncvezető kopás miatt nem működik megfelelően.
254,2023-03-26,Fúró-MAX,A lánchajtás mechanikai deformációt szenvedett.
255,2023-03-26,Hegesztő-MAX,A hűtőventilátor fordulatszáma csökkent.
256,2023-03-27,Szenzorvezérlő-Beta,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
257,2023-03-27,Hegesztő-MAX,Áramkimaradás történt a vezérlőegységnél.
258,2023-03-27,Fúró-X,Túlzott zaj a fogaskerék mechanizmusból.
259,2023-03-28,Fúró-5,Áramkimaradás történt a vezérlőegységnél.
260,2023-03-28,Robot 2,A láncvezető kopás miatt nem működik megfelelően.
261,2023-03-28,Robot Delta,Az automatizált szoftverfrissítés során hibakódot jelezett.
262,2023-03-29,Szállítószalag-Z,A PLC vezérlőegység áramszünet miatt újraindult.
263,2023-03-29,Hidraulikus prés-10,A sebességváltó fogaskerekei nem kapcsolódnak megfelelően.
264,2023-03-29,Robot Delta,A szállítószalag lánca megszakadt.
265,2023-03-30,Robot Alpha,A feszültségszabályozó hibásan működik.
266,2023-03-30,Szállítószalag-Z,A hálózati csatlakozónál magas hőmérsékletet észleltek.
267,2023-03-30,Hidraulikus prés-10,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
268,2023-03-31,Hegesztő-1,Az eszköz firmware-jének újraindítása sikertelen volt.
269,2023-03-31,Szenzorvezérlő-3,A gép kimeneti teljesítménye csökkent a meghajtó egység hibája miatt.
270,2023-03-31,Lézeres Vágó-A,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
271,2023-04-01,Fúró-MAX,Gyakori olajszivárgás a hajtótengely közelében.
272,2023-04-01,Szenzorvezérlő-Beta,A süllyesztő mechanizmus belső csapágyai sérültek.
273,2023-04-01,CNC-3,Az elektrohidraulikus szelep elakadt működés közben.
274,2023-04-02,Szállítószalag-B,Az optikai érzékelőt zsírréteg borítja.
275,2023-04-02,Présgép-1,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
276,2023-04-02,Robot 2,Rendellenes rezgés működés közben.
277,2023-04-03,CNC-3,Az érzékelők jelzése nem egyezik a valós pozícióval.
278,2023-04-03,Emelőkar-X,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
279,2023-04-03,CNC-3,A szenzor kalibrálása sikertelen volt.
280,2023-04-04,Lézeres Vágó-B,Laza csatlakozás a fő tápbemeneten.
281,2023-04-04,Fúró-12,A hőmérséklet-szabályozó egység hibás jeleket küld.
282,2023-04-04,Hegesztő-XL,A feszültségszabályozó hibásan működik.
283,2023-04-05,Fúró-12,Gyakori olajszivárgás a hajtótengely közelében.
284,2023-04-05,Hidraulikus prés-4,Túláramvédelem ismételten aktiválódik.
285,2023-04-05,Szállítószalag-B,A feszültségszabályozó hibásan működik.
286,2023-04-06,Szállítószalag-Z,Beragadt működtető a lift mechanizmusban.
287,2023-04-06,CNC-Pro,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
288,2023-04-06,Szenzorvezérlő-3,Hirtelen áramfelvétel-növekedés figyelhető meg.
289,2023-04-07,Maró-Z,A vezérlőpanel időnként nem reagál.
290,2023-04-07,Emelőkar-X,A robotvezérlő és a mechanika szinkronizációja megszakadt.
291,2023-04-07,CNC-Micro,A süllyesztő mechanizmus belső csapágyai sérültek.
292,2023-04-08,Présgép-Plus,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
293,2023-04-08,Hegesztő-XL,A láncvezető kopás miatt nem működik megfelelően.
294,2023-04-08,Hidraulikus prés-10,Firmware inkompatibilitás frissítés után.
295,2023-04-09,Optikai Mérő-X,Hűtőrendszer meghibásodás jelentve.
296,2023-04-09,Emelőkar-3,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
297,2023-04-09,Présgép-Plus,A motor túlmelegedett és leállt.
298,2023-04-10,Présgép-Plus,A gépdiagnosztikai teszt során kommunikációs hibát észleltek.
299,2023-04-10,CNC-3,Az üzemanyag-ellátó rendszer nyomásingadozást tapasztalt.
300,2023-04-10,Lézeres Vágó-B,A vezérlőpult kijelzőjén torz képi megjelenés tapasztalható.
301,2023-04-11,Lézeres Vágó-A,Áramkimaradás történt a vezérlőegységnél.
302,2023-04-11,Présgép-9,Az alkatrész érzékelő hibás adatokat továbbít.
303,2023-04-11,Szállítószalag-7,A hálózati csatlakozónál magas hőmérsékletet észleltek.
304,2023-04-12,Présgép-Plus,Gyakori olajszivárgás a hajtótengely közelében.
305,2023-04-12,Hegesztő-XL,Túlzott zaj a fogaskerék mechanizmusból.
306,2023-04-12,Présgép-9,Laza csatlakozás a fő tápbemeneten.
307,2023-04-13,Lézeres Vágó-A,A vészleállító gomb nem működött megfelelően.
308,2023-04-13,Fúró-MAX,Az energiafogyasztás jelentősen megnőtt az elmúlt ciklusban.
309,2023-04-13,Hidraulikus prés-Y,A hőmérséklet érzékelő nem reagál a tesztparancsokra.
310,2023-04-14,Szállítószalag-7,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
311,2023-04-14,Fúró-MAX,A hőcserélő szivárog a csatlakozási pontnál.
312,2023-04-14,CNC-Micro,A hőcserélő szivárog a csatlakozási pontnál.
313,2023-04-15,Szenzorvezérlő-Beta,A pneumatikus csatlakozók között nyomásveszteség tapasztalható.
314,2023-04-15,Hidraulikus prés-10,A szállítószalag lánca megszakadt.
315,2023-04-15,Fúró-12,Az elektromos motor szénkeféi elhasználódtak.
316,2023-04-16,Szállítószalag-7,A hidraulikus olaj hőmérséklete meghaladta a biztonsági szintet.
317,2023-04-16,Szállítószalag-C,A hűtőventilátor fordulatszáma csökkent.
318,2023-04-16,Fúró-12,Alacsony hidraulikus nyomás észlelve.
319,2023-04-17,Szállítószalag-B,A láncvezető kopás miatt nem működik megfelelően.
320,2023-04-17,Robot Delta,A csatlakozók oxidációs nyomokat mutatnak.
321,2023-04-17,Robot 2,A szenzorok hibás adatokat küldenek a vezérlőegységnek.
322,2023-04-18,Robot X,Nem reagál az érintőképernyő a vezérlőpanelen.
323,2023-04-18,Robot Alpha,Az automatizált szoftverfrissítés során hibakódot jelezett.
324,2023-04-18,Szenzorvezérlő-3,A robotkar mozgása akadozik.
325,2023-04-19,Hidraulikus prés-Y,A láncmechanizmus meghibásodott.
326,2023-04-19,Emelőkar-X,Az áramellátás stabilitása nem garantálható a jelenlegi terhelés mellett.
327,2023-04-19,Emelőkar-3,Az olajszűrő rendszer eltömődött.
328,2023-04-20,Fúró-X,A kenőrendszer olajszintje az alsó határérték alá csökkent.
